original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
71892,0,250859,557285,4,2,250851,557281,250862,557287,250862,557287,250862,557287
72307,1,243343,558377,4,9,243342,558374,243342,558374,243345,558383,243355,558407
72922,2,247254,549716,5,2,247247,549714,247258,549716,247258,549724,247258,549724
73325,3,248646,551068,3,3,248646,551066,248646,551066,248652,551072,248652,551081
140903,4,273540,796042,47,39,273514,796019,273514,796019,273622,796118,273635,796118
146953,5,270283,645289,0,0,270283,645289,270283,645289,270283,645289,270283,645289
201108,6,235169,657063,0,0,235169,657063,235169,657063,235169,657063,235169,657063
201256,7,234417,656578,3,2,234408,656579,234419,656579,234419,656579,234419,656579
201465,8,235079,656755,0,0,235079,656755,235079,656755,235079,656755,235079,656755
206489,9,232756,656229,0,0,232756,656229,232756,656229,232756,656229,232756,656229
206823,10,232557,655975,0,0,232557,655975,232557,655975,232557,655975,232557,655975
206923,11,232894,655906,0,0,232894,655906,232894,655906,232894,655906,232894,655906
228930,12,227067,655064,0,0,227067,655064,227067,655064,227067,655064,227067,655064
229021,13,226604,654632,0,0,226604,654632,226604,654632,226604,654632,226604,654632
229146,14,227427,654316,0,0,227427,654316,227427,654316,227427,654316,227427,654316
262799,15,238211,646051,0,0,238211,646051,238211,646051,238211,646051,238211,646051
263008,16,238254,645585,0,0,238254,645585,238254,645585,238254,645585,238254,645585
263131,17,238656,645871,0,0,238656,645871,238656,645871,238656,645871,238656,645871
263658,18,296142,775686,17,7,296132,775681,296132,775690,296163,775690,296197,775690
263851,19,292981,775322,4,10,292974,775316,292983,775316,292983,775341,292990,775344
270278,20,244342,656076,0,0,244342,656076,244342,656076,244342,656076,244342,656076
271027,21,244013,655546,0,0,244013,655546,244013,655546,244013,655546,244013,655546
271273,22,244563,655602,0,0,244563,655602,244563,655602,244563,655602,244563,655602
273844,23,236349,650877,0,0,236349,650877,236349,650877,236349,650877,236349,650877
273925,24,236349,650877,0,0,236349,650877,236349,650877,236349,650877,236349,650877
274274,25,236349,650877,0,0,236349,650877,236349,650877,236349,650877,236349,650877
275611,26,245431,643491,0,0,245431,643491,245431,643491,245431,643491,245431,643491
275735,27,244477,643003,0,0,244477,643003,244477,643003,244477,643003,244477,643003
276029,28,245227,642668,0,0,245227,642668,245227,642668,245227,642668,245227,642668
279084,29,246555,655651,0,0,246555,655651,246555,655651,246555,655651,246555,655651
279263,30,246173,655141,0,0,246173,655141,246173,655141,246173,655141,246173,655141
286041,31,229237,655311,0,0,229237,655311,229237,655311,229237,655311,229237,655311
286162,32,228553,654426,0,0,228553,654426,228553,654426,228553,654426,228553,654426
286271,33,229562,654270,0,0,229562,654270,229562,654270,229562,654270,229562,654270
287109,34,245031,655472,0,0,245031,655472,245031,655472,245031,655472,245031,655472
287189,35,244582,654835,0,0,244582,654835,244582,654835,244582,654835,244582,654835
287285,36,245217,654758,0,0,245217,654758,245217,654758,245217,654758,245217,654758
294086,37,238381,651575,0,0,238381,651575,238381,651575,238381,651575,238381,651575
298682,38,238211,651427,0,0,238211,651427,238211,651427,238211,651427,238211,651427
307380,39,238381,651385,0,0,238381,651385,238381,651385,238381,651385,238381,651385
342089,40,232465,655609,0,0,232465,655609,232465,655609,232465,655609,232465,655609
342195,41,232031,655116,0,0,232031,655116,232031,655116,232031,655116,232031,655116
342404,42,232539,655131,0,0,232539,655131,232539,655131,232539,655131,232539,655131
345322,43,242635,650686,0,0,242635,650686,242635,650686,242635,650686,242635,650686
345543,44,242578,650254,0,0,242578,650254,242578,650254,242578,650254,242578,650254
353589,45,236775,667542,0,0,236775,667542,236775,667542,236775,667542,236775,667542
354841,46,237901,667337,0,0,237901,667337,237901,667337,237901,667337,237904,667337
358024,47,246181,656874,0,0,246181,656874,246181,656874,246181,656874,246181,656874
358129,48,245802,656045,0,0,245802,656045,245802,656045,245802,656045,245802,656045
358441,49,246313,656044,0,0,246313,656044,246313,656044,246313,656044,246313,656044
365276,50,233357,655336,0,0,233357,655336,233357,655336,233357,655336,233357,655336
366042,51,180365,839698,3,2,180363,839692,180364,839700,180374,839700,180374,839700
366222,52,176211,836666,22,8,176198,836664,176198,836664,176255,836685,176255,836685
366410,53,178200,832512,5,2,178197,832512,178197,832512,178211,832514,178216,832521
642858,54,257530,846602,5,9,257528,846587,257528,846606,257540,846606,257544,846606
653552,55,232360,664930,0,0,232361,664931,232361,664931,232361,664931,232361,664931
653596,56,230370,663058,0,0,230370,663058,230370,663058,230370,663058,230370,663058
653720,57,231692,663133,0,0,231692,663133,231692,663133,231692,663133,231692,663133
658127,58,228318,674522,1,4,228317,674515,228318,674526,228322,674526,228322,674526
658303,59,226189,672894,1,2,226189,672895,226189,672895,226189,672895,226193,672895
661445,60,227956,672092,0,0,227956,672092,227956,672092,227956,672092,227956,672092
661582,61,224979,670618,0,0,224979,670618,224979,670618,224979,670618,224979,670618
756790,62,91654,597580,8,1,91650,597580,91650,597580,91670,597580,91676,597587
757187,63,89552,595983,2,4,89547,595984,89553,595984,89553,595987,89555,595991
757583,64,91842,594837,8,10,91831,594822,91846,594843,91846,594843,91847,594843
763597,65,103512,544551,2,4,103510,544544,103514,544553,103514,544553,103514,544566
763678,66,91267,529150,96,14,91212,529143,91212,529143,91437,529180,91451,529180
763736,67,106565,537001,19,21,106525,536959,106577,537013,106577,537013,106577,537024
763906,68,103512,544551,2,4,103510,544544,103514,544553,103514,544553,103514,544566
764095,69,91267,529150,96,14,91212,529143,91212,529143,91437,529180,91451,529180
765161,70,106565,537001,19,21,106525,536959,106577,537013,106577,537013,106577,537024
894861,71,289422,760590,8,13,289418,760564,289420,760599,289445,760599,289445,760599
895235,72,291782,757978,4,5,291772,757967,291783,757981,291788,757981,291791,757981
945479,73,129344,566182,4,5,129342,566175,129342,566186,129356,566186,129356,566186
945656,74,121707,555155,14,10,121684,555155,121710,555155,121710,555166,121762,555166
946167,75,134676,550748,3,10,134674,550742,134675,550742,134681,550763,134689,550773
946297,76,129344,566182,4,5,129342,566175,129342,566186,129356,566186,129356,566186
946440,77,121707,555155,14,10,121684,555155,121710,555155,121710,555166,121762,555166
946754,78,134676,550748,3,10,134674,550742,134675,550742,134681,550763,134689,550773
1028111,79,318739,759813,7,9,318736,759812,318736,759812,318748,759836,318770,759836
1028850,80,313134,757955,3,2,313132,757952,313132,757957,313141,757957,313141,757957
1029242,81,319974,755517,2,9,319973,755508,319975,755523,319975,755523,319977,755523
1081113,82,155141,470411,18,7,155131,470396,155131,470416,155180,470416,155180,470416
1081557,83,144198,472611,205,9,143828,472600,144316,472615,144316,472616,144316,472616
1082013,84,154636,455140,122,22,154421,455096,154703,455154,154703,455154,154740,455154
1082143,85,155262,470462,15,7,155254,470449,155254,470467,155296,470467,155296,470467
