eovx,eovy,num
239320,650532,11922
242702,650451,12253
240628,649815,4932
238348,650389,3898
236347,650877,57
236095,650242,12
238224,651498,2909
239302,652427,2848
237447,656383,3092
237021,650368,2136
236222,655703,0
237105,648670,2421
248486,660742,1800
239436,651272,1889
240168,653620,1733
238906,652106,1253
240430,653251,1866
240070,651304,1579
240032,653798,0
236954,653600,2139
229449,656443,1602
236730,653671,605
230548,659397,1344
230603,649643,1159
237507,649708,1467
238870,648427,1589
173992,702947,0
234810,650273,1949
240482,648238,1804
171579,564517,0
240522,650722,1355
235993,651289,1007
242719,645445,2108
171579,564390,0
240998,657842,1082
239659,648111,1448
240862,646056,1440
240098,651662,1236
236307,658373,2072
103518,735439,2405
248817,844568,24
235282,655470,1719
239208,656818,1615
202748,737732,1384
101761,735098,1885
231459,653785,1572
246086,653275,1633
232142,651763,1434
204375,737144,2896
240535,652364,1184
239787,654645,1966
239573,648609,1470
262384,547372,441
171579,564771,0
156720,512066,0
241150,647015,1977
248448,843941,1750
246102,650477,644
246477,654805,1328
241189,652285,58
239674,649398,924
226467,654380,846
242128,651891,1390
247205,843881,1640
240890,649101,925
240863,656184,826
293721,849251,291
243612,649284,810
243425,841718,1706
244870,845530,1959
240524,648742,975
231777,665863,511
245493,650496,0
239651,654306,15
242788,649207,543
246678,644006,866
250410,655978,1294
251581,672811,1203
233869,664464,779
239124,647281,1182
92585,642241,0
252662,652475,1074
235569,649905,1016
241028,651507,573
233530,659792,743
235985,656714,905
236619,663920,1088
241095,650869,580
230914,652480,939
237915,652059,857
255399,569724,0
236222,651131,73
243800,662460,1313
238568,652506,637
242839,652117,1728
173524,700486,1619
245366,650623,0
241048,652401,0
260225,465203,0
236725,653542,7
210314,618111,0
245371,647789,1198
233888,658975,568
239131,663847,829
241512,654573,845
245620,650369,0
261644,544713,797
171706,564390,0
241789,653590,928
237685,652046,834
240597,648905,524
243299,652839,946
236664,649889,740
243362,654175,819
236325,648236,740
237732,652630,1028
207938,621348,740
235917,666224,414
171995,696799,1641
100063,735056,1487
181866,567057,0
239905,649353,0
248160,664974,0
114683,677039,0
244096,651004,6
230584,663054,551
236145,654482,836
237716,651584,653
229083,648440,677
236214,649927,736
234923,660982,547
243647,847899,1072
246764,654003,671
237029,651057,602
246382,844298,106
246001,648845,58
236349,650750,8
239413,651471,872
239660,651357,460
241656,656932,972
239378,648054,274
249324,845056,744
242621,653650,944
226532,651245,708
239142,658888,724
296436,851071,572
237395,652659,500
246514,842601,1409
240845,645159,308
307972,779108,339
260479,465330,0
182882,582805,0
243842,665482,317
248134,666505,389
242131,652779,1106
243138,651530,723
245221,652834,587
236591,649181,342
234864,649894,660
235790,648786,493
225305,642551,750
231242,665708,1329
230924,651010,636
238762,655957,18
240920,650684,1040
248328,655813,1164
249263,653593,949
245050,652104,875
246201,652045,788
242955,648787,257
234060,648685,435
237527,652316,840
234375,657616,366
175634,696536,1426
236858,649407,373
113180,552745,1891
308358,779528,58
150745,805523,676
260352,465203,0
305183,777750,0
240794,652909,0
89283,579503,0
210314,618238,0
171706,565025,0
183009,566041,0
239016,649353,0
180404,559078,814
241136,653052,571
218169,643253,1181
228026,662964,1136
224378,649083,1478
241560,647956,1109
243020,656671,423
238078,664868,460
248265,665329,15
243797,651457,223
248823,654469,428
242942,843617,1112
241796,649607,22
235968,655830,27
232793,663196,49
100010,736349,863
102512,732292,751
240501,650431,229
250827,654941,54
171579,564263,0
150748,807861,0
248668,844298,0
239890,652391,443
241185,651872,656
244097,653179,734
236124,654912,218
241746,654072,487
238282,651964,393
205793,601925,950
226634,657956,301
239270,649861,323
242506,657773,853
236991,648290,506
241673,655281,773
175328,574485,662
239425,649227,104
246278,649291,531
251353,642729,1185
240032,649856,219
241522,659699,265
246153,845642,629
240154,650826,209
259686,543466,1290
261678,546669,1055
100869,737691,1151
101450,734335,965
99005,733339,612
120074,749803,761
239397,653036,158
248402,654040,25
101729,733935,112
121795,750953,0
171706,564898,0
211711,618111,46
254637,633859,109
210441,618746,0
243836,652533,444
240512,651055,424
237241,651696,521
240577,655279,631
240662,654612,635
162332,514550,1555
235409,653561,570
239901,657746,657
244013,648741,569
206774,601330,972
248018,842712,885
247233,655884,372
203840,706679,765
234226,654251,863
238665,648995,110
245444,651437,494
244739,651137,230
237043,654815,466
244397,641665,614
236088,651794,88
238508,648083,206
172965,701843,1450
173938,698029,1956
247360,646885,481
242664,669113,557
240815,651856,245
173865,698883,66
149989,806198,125
148602,807308,786
260418,546754,1234
261417,543290,744
119694,747960,1144
285148,748990,150
251224,670742,226
243355,651014,354
240921,652401,0
305437,777877,0
252224,638939,52
252097,640590,56
219585,629922,145
209552,620905,56
259844,650369,184
227713,635764,21
119636,628779,46
237238,633605,25
248541,656719,2
258066,652020,59
207012,618238,120
286768,749048,0
255399,649480,48
121922,469648,0
292868,844425,288
239016,618746,311
240159,649861,0
260352,550674,78
101602,735586,0
235061,657193,441
244580,656217,365
244431,654551,543
232253,655665,358
251007,649327,306
171496,570416,172
240667,651333,250
230767,645690,330
242506,651079,489
243973,656757,709
231940,657754,482
161369,509263,607
237210,652061,588
205230,736391,1014
232307,654244,619
236279,645803,509
234457,649368,572
238314,647019,650
146115,742339,1026
236316,655393,384
237982,653676,568
241224,660777,351
232548,652387,520
230259,651745,386
228361,646926,1163
292781,848851,723
294048,848233,500
292415,851432,1110
241637,652270,467
232756,654715,412
237600,659190,814
231610,656767,341
323648,876037,966
234290,655581,254
232819,658321,209
245978,843633,1367
239645,670217,1211
240072,655789,283
238304,654366,509
242244,654566,554
232929,647869,347
174089,699013,863
237528,661574,849
242482,651578,300
235457,657791,590
235054,667820,307
239104,653581,402
307186,771582,327
237816,654222,508
238606,651726,132
239778,654052,37
235587,615190,8
164340,639828,37
105793,610110,16
240413,716409,0
209552,778893,0
247525,608078,129
152402,710313,6
225935,640844,99
228695,654222,192
242313,661851,468
245807,648627,165
159686,542153,348
244003,660503,437
246804,653480,645
242313,651330,344
224625,646110,1167
203862,735747,939
244985,651893,210
253730,657516,475
257040,655158,839
243187,649334,320
249959,844598,823
240072,660861,440
247253,841730,1511
247380,844861,661
246607,845007,479
237293,666384,199
249049,649933,359
248630,650939,281
253435,648214,680
230819,647710,420
242037,648714,247
240078,656401,694
245888,842987,492
238958,661010,121
295333,892504,1521
240677,659191,432
247265,842818,562
243992,649393,242
242191,644604,162
250494,653057,232
246517,843707,315
245671,844535,535
233037,657103,197
234364,658527,305
231408,661468,294
240992,644152,120
233795,657074,343
244000,658279,247
256338,657415,295
235897,652372,411
175071,700498,844
239776,645329,295
248224,645490,94
304956,779789,598
308946,779634,358
307571,780198,878
81130,587460,888
212301,466679,586
109962,622478,567
119475,748833,360
266722,626496,731
235206,650369,14
245366,650496,0
242953,650115,0
140972,634113,134
240667,620016,102
203710,632843,254
235079,638304,91
169928,572391,0
232031,665990,13
239270,663831,0
260098,465330,0
260225,465076,0
212346,464822,0
238762,656084,0
260479,465457,0
232158,663010,741
228138,660616,377
240843,652386,272
250418,650463,708
245442,648806,335
185600,581758,101
248039,649207,505
208397,616885,177
230850,643347,427
270991,654613,783
220671,642949,168
237314,646404,448
204494,602137,663
205455,600673,543
234068,662847,380
236634,651025,118
244688,843749,886
228860,644645,595
234053,645475,1046
242267,659896,286
237967,658181,293
