eovx,eovy,num
239320,650532,3469
242702,650451,4244
240628,649815,1673
238348,650389,1439
236347,650877,31
236095,650242,1
238224,651498,952
239302,652427,874
237447,656383,861
237021,650368,790
236222,655703,0
237105,648670,812
248486,660742,787
239436,651272,555
240168,653620,617
238906,652106,387
240430,653251,690
240070,651304,448
240032,653798,0
236954,653600,863
229449,656443,557
236730,653671,178
230548,659397,398
230603,649643,426
237507,649708,396
238870,648427,511
173992,702947,0
234810,650273,643
240482,648238,690
171579,564517,0
240522,650722,543
235993,651289,499
242719,645445,654
171579,564390,0
240998,657842,334
239659,648111,499
240862,646056,435
240098,651662,342
236307,658373,630
103518,735439,711
248817,844568,2
235282,655470,582
239208,656818,582
202748,737732,458
101761,735098,600
231459,653785,543
246086,653275,515
232142,651763,496
204375,737144,763
240535,652364,391
239787,654645,665
239573,648609,513
262384,547372,120
171579,564771,0
156720,512066,0
241150,647015,669
248448,843941,511
246102,650477,231
246477,654805,450
241189,652285,33
239674,649398,360
226467,654380,349
242128,651891,515
247205,843881,518
240890,649101,329
240863,656184,235
293721,849251,90
243612,649284,257
243425,841718,653
244870,845530,582
240524,648742,319
231777,665863,116
245493,650496,0
239651,654306,5
242788,649207,205
246678,644006,250
250410,655978,560
251581,672811,338
233869,664464,288
239124,647281,375
92585,642241,0
252662,652475,394
235569,649905,370
241028,651507,185
233530,659792,190
235985,656714,331
236619,663920,288
241095,650869,158
230914,652480,251
237915,652059,213
255399,569724,0
236222,651131,23
243800,662460,532
238568,652506,186
242839,652117,548
173524,700486,506
245366,650623,0
241048,652401,0
260225,465203,0
236725,653542,4
210314,618111,0
245371,647789,387
233888,658975,152
239131,663847,298
241512,654573,243
245620,650369,0
261644,544713,244
171706,564390,0
241789,653590,311
237685,652046,230
240597,648905,155
243299,652839,284
236664,649889,219
243362,654175,309
236325,648236,265
237732,652630,279
207938,621348,246
235917,666224,118
171995,696799,458
100063,735056,473
181866,567057,0
239905,649353,0
248160,664974,0
114683,677039,0
244096,651004,3
230584,663054,162
236145,654482,328
237716,651584,185
229083,648440,226
236214,649927,236
234923,660982,170
243647,847899,300
246764,654003,237
237029,651057,316
246382,844298,15
246001,648845,14
236349,650750,2
239413,651471,226
239660,651357,93
241656,656932,280
239378,648054,121
249324,845056,260
242621,653650,366
226532,651245,311
239142,658888,296
296436,851071,205
237395,652659,141
246514,842601,494
240845,645159,83
307972,779108,124
260479,465330,0
182882,582805,0
243842,665482,77
248134,666505,116
242131,652779,483
243138,651530,259
245221,652834,207
236591,649181,115
234864,649894,223
235790,648786,179
225305,642551,276
231242,665708,508
230924,651010,172
238762,655957,9
240920,650684,398
248328,655813,417
249263,653593,318
245050,652104,317
246201,652045,344
242955,648787,97
234060,648685,159
237527,652316,246
234375,657616,124
175634,696536,429
236858,649407,163
113180,552745,532
308358,779528,17
150745,805523,213
260352,465203,0
305183,777750,0
240794,652909,0
89283,579503,0
210314,618238,0
171706,565025,0
183009,566041,0
239016,649353,0
180404,559078,216
241136,653052,224
218169,643253,286
228026,662964,359
224378,649083,519
241560,647956,359
243020,656671,191
238078,664868,184
248265,665329,6
243797,651457,87
248823,654469,138
242942,843617,382
241796,649607,10
235968,655830,9
232793,663196,28
100010,736349,284
102512,732292,253
240501,650431,97
250827,654941,9
171579,564263,0
150748,807861,0
248668,844298,0
239890,652391,117
241185,651872,189
244097,653179,233
236124,654912,105
241746,654072,123
238282,651964,110
205793,601925,281
226634,657956,125
239270,649861,128
242506,657773,310
236991,648290,232
241673,655281,235
175328,574485,257
239425,649227,33
246278,649291,181
251353,642729,420
240032,649856,114
241522,659699,74
246153,845642,223
240154,650826,46
259686,543466,394
261678,546669,340
100869,737691,290
101450,734335,343
99005,733339,166
120074,749803,250
239397,653036,14
248402,654040,9
101729,733935,19
121795,750953,0
171706,564898,0
211711,618111,22
254637,633859,68
210441,618746,0
243836,652533,155
240512,651055,101
237241,651696,170
240577,655279,166
240662,654612,170
162332,514550,449
235409,653561,195
239901,657746,226
244013,648741,203
206774,601330,284
248018,842712,286
247233,655884,128
203840,706679,251
234226,654251,288
238665,648995,36
245444,651437,219
244739,651137,60
237043,654815,178
244397,641665,221
236088,651794,45
238508,648083,41
172965,701843,439
173938,698029,597
247360,646885,135
242664,669113,165
240815,651856,107
173865,698883,8
149989,806198,29
148602,807308,265
260418,546754,376
261417,543290,241
119694,747960,336
285148,748990,53
251224,670742,61
243355,651014,144
240921,652401,0
305437,777877,0
252224,638939,36
252097,640590,43
219585,629922,70
209552,620905,29
259844,650369,86
227713,635764,11
119636,628779,20
237238,633605,13
248541,656719,1
258066,652020,27
207012,618238,42
286768,749048,0
255399,649480,29
121922,469648,0
292868,844425,62
239016,618746,132
240159,649861,0
260352,550674,15
101602,735586,0
