original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
71892,0,48797,429016,2,3,48796,429014,48796,429018,48800,429018,48803,429018
72307,1,48905,431421,0,0,48905,431421,48905,431421,48905,431421,48905,431421
72922,2,48906,432519,1,15,48905,432484,48908,432529,48908,432529,48908,432529
73325,3,49123,432576,0,22,49122,432563,49124,432563,49124,432607,49124,432642
140903,4,49247,432691,4,0,49247,432691,49247,432691,49247,432691,49262,432691
146953,5,49786,432691,0,0,49786,432691,49786,432691,49786,432691,49786,432691
201108,6,49786,433698,0,17,49786,433665,49786,433710,49786,433710,49786,433710
201256,7,49786,434850,0,0,49786,434850,49786,434850,49786,434850,49786,434850
201465,8,49835,434896,2,14,49831,434864,49837,434904,49837,434904,49837,434904
206489,9,49913,435135,0,7,49913,435132,49913,435132,49913,435146,49913,435162
206823,10,49913,435866,0,0,49913,435866,49913,435866,49913,435866,49913,435866
206923,11,49913,435930,0,10,49913,435905,49913,435935,49913,435936,49913,435937
228930,12,49913,436130,0,0,49913,436130,49913,436130,49913,436130,49913,436130
229021,13,49913,436137,0,6,49913,436130,49913,436142,49913,436146,49913,436146
229146,14,50142,436501,8,0,50138,436501,50138,436501,50159,436501,50167,436501
262799,15,50210,437242,182,11,50167,437223,50167,437248,50168,437248,50968,437254
263008,16,51001,437407,115,2,50971,437407,50974,437408,50974,437408,51479,437417
263131,17,51489,437487,9,2,51486,437482,51486,437489,51491,437489,51526,437489
263658,18,51543,437492,6,3,51535,437489,51544,437489,51544,437498,51567,437498
263851,19,51578,438038,24,11,51570,438032,51574,438032,51574,438063,51682,438063
270278,20,51701,438282,59,4,51682,438282,51682,438282,51702,438290,51945,438296
271027,21,51945,438331,0,13,51945,438312,51945,438341,51945,438341,51945,438341
271273,22,51951,438342,25,2,51945,438341,51945,438341,51945,438348,52055,438348
273844,23,52057,438716,2,1,52055,438712,52057,438717,52061,438717,52061,438717
273925,24,52064,438717,3,0,52061,438717,52065,438717,52069,438717,52069,438717
274274,25,52069,438717,0,0,52069,438717,52069,438717,52069,438717,52069,438717
